dia,mes,dia_mes,dia_da_semana,quantidade,modelo
1,jan,1,sab,0,na
2,jan,2,dom,0,na
3,jan,3,seg,0,na
4,jan,4,ter,0,na
5,jan,5,qua,0,na
6,jan,6,qui,0,na
7,jan,7,sex,0,na
8,jan,8,sab,0,na
9,jan,9,dom,0,na
10,jan,10,seg,0,na
11,jan,11,ter,0,na
12,jan,12,qua,0,na
13,jan,13,qui,0,na
14,jan,14,sex,0,na
15,jan,15,sab,0,na
16,jan,16,dom,0,na
17,jan,17,seg,4,"gol, astra, strada, polo"
18,jan,18,ter,5,"polo, fiesta, palio"
19,jan,19,qua,4,"hb20, tracker, etios, fox"
20,jan,20,qui,3,"palio, mobi, csc"
21,jan,21,sex,1,ranger
22,jan,22,sab,0,na
23,jan,23,dom,0,na
24,jan,24,seg,0,na
25,jan,25,ter,4,"fox, fox, palio"
26,jan,26,qua,3,"idea, golf, van"
27,jan,27,qui,3,"voyage, fox, mb3030"
28,jan,28,sex,4,"picasso, crv"
29,jan,29,sab,1,hb20
30,jan,30,dom,0,na
31,jan,31,seg,3,"ecosport, palio, van"
32,fev,1,ter,5,"palio, van, prisma, zafira, golf"
33,fev,2,qua,2,cargo
34,fev,3,qui,3,"hrv, siena"
35,fev,4,sex,1,newholland
36,fev,5,sab,0,na
37,fev,6,dom,0,na
38,fev,7,seg,0,na
39,fev,8,ter,1,van
40,fev,9,qua,0,na
41,fev,10,qui,2,"fox, 206"
42,fev,11,sex,0,na
43,fev,12,sab,0,na
44,fev,13,dom,0,na
45,fev,14,seg,2,"ranger, argo"
46,fev,15,ter,1,argo
47,fev,16,qua,1,fiesta
48,fev,17,qui,2,"prisma, van"
49,fev,18,sex,3,"montana, master"
50,fev,19,sab,1,fit
51,fev,20,dom,0,na
52,fev,21,seg,2,"frontier, caminhao"
53,fev,22,ter,2,"crv, tracker"
54,fev,23,qua,1,fox
55,fev,24,qui,2,gol
56,fev,25,sex,2,"zafira, aircross"
57,fev,26,sab,0,na
58,fev,27,dom,0,na
59,fev,28,seg,0,na
60,mar,1,ter,0,na
61,mar,2,qua,4,"etios, astra, strada, ecosport"
62,mar,3,qui,5,"gol, polo, cruze, etios, vectra"
63,mar,4,sex,3,"polo, renegade"
64,mar,5,sab,0,na
65,mar,6,dom,0,na
66,mar,7,seg,3,"van, cobalt, strada"
67,mar,8,ter,2,polo
68,mar,9,qua,1,strada
69,mar,10,qui,2,strada
70,mar,11,sex,5,"hb20, agile, fox, fit, palio"
71,mar,12,sab,0,na
72,mar,13,dom,0,na
73,mar,14,seg,2,"spacefox, montana"
74,mar,15,ter,0,na
75,mar,16,qua,2,polo
76,mar,17,qui,3,"golf, gol, elx"
77,mar,18,sex,2,"classic, saveiro"
78,mar,19,sab,0,na
79,mar,20,dom,0,na
80,mar,21,seg,3,"palio, golf, caminhao"
81,mar,22,ter,5,"hb20, van, gol, palio, corolla"
82,mar,23,qua,0,na
83,mar,24,qui,1,fit
84,mar,25,sex,1,golf
85,mar,26,sab,0,0
86,mar,27,dom,0,0
87,mar,28,seg,3,"onix, montana, fusion"
88,mar,29,ter,4,"van, corolla, landrover"
89,mar,30,qua,3,"gol, palio, ka"
90,mar,31,qui,1,van
91,abr,1,sex,2,"voyage, van"
92,abr,2,sab,0,na
93,abr,3,dom,0,na
94,abr,4,seg,1,na
95,abr,5,ter,6,"montana, ecosport, palio_weekend, gol, azera, cargo"
96,abr,6,qua,1,marea
97,abr,7,qui,0,na
98,abr,8,sex,2,"fox, polo"
99,abr,9,sab,1,208
100,abr,10,dom,0,na
101,abr,11,seg,3,"gol, duster, gol"
102,abr,12,ter,2,"palio, strada"
103,abr,13,qua,0,na
104,abr,14,qui,1,fit
105,abr,15,sex,0,na
106,abr,16,sab,0,na
107,abr,17,dom,0,na
108,abr,18,seg,2,"ecosport, agile"
109,abr,19,ter,1,cobalt
110,abr,20,qua,3,"fiesta, c3"
111,abr,21,qui,0,na
112,abr,22,sex,2,"meriva, palio"
113,abr,23,sab,0,na
114,abr,24,dom,0,na
115,abr,25,seg,0,na
116,abr,26,ter,1,saveiro
117,abr,27,qua,2,palio
118,abr,28,qui,3,"gol, corsa"
119,abr,29,sex,1,na
120,abr,30,sab,0,na
121,mai,1,dom,0,na
122,mai,2,seg,0,na
123,mai,3,ter,1,na
124,mai,4,qua,0,na
125,mai,5,qui,1,na
126,mai,6,sex,4,"fiesta, polo, renegade"
127,mai,7,sab,0,na
128,mai,8,dom,0,na
129,mai,9,seg,6,"agile, hilux, polo, golf, gol, tracker"
130,mai,10,ter,1,208
131,mai,11,qua,3,"gol, tracker, polo"
132,mai,12,qui,4,"palio_adventure, uno, palio_weekend"
133,mai,13,sex,2,"palio, astra"
134,mai,14,sab,0,na
135,mai,15,dom,0,na
136,mai,16,seg,1,corsa
137,mai,17,ter,0,na
